Temperature (°C),Humidity (%),Moisture Level (%),Soil Type,Crop Type,pH Level,Nitrogen Level (ppm),Phosphorus Level (ppm),Potassium Level (ppm),Fertilizer Recommendation
23.7,88.7,59.8,Chalky,Tomato,6.7,34.4,27.2,28.6,Potash
18.4,59.1,18.3,Silty,Potato,6.4,92.9,42.1,24.5,Potash
19.6,64.8,28.4,Peaty,Tomato,6.7,33.0,6.0,43.4,DAP
39.8,72.9,15.9,Loamy,Sugarcane,7.5,47.4,46.5,31.2,Potash
39.8,77.5,51.5,Silty,Wheat,7.5,27.1,12.1,61.6,Urea
38.1,60.9,20.0,Chalky,Maize,5.8,91.0,10.5,51.0,DAP
32.7,63.5,36.4,Clayey,Sugarcane,7.7,76.7,18.9,34.2,DAP
37.5,85.0,26.2,Silty,Cotton,6.7,75.6,47.3,76.0,Gypsum
38.9,59.0,29.7,Silty,Maize,6.9,87.1,28.7,62.9,Gypsum
17.1,36.4,52.6,Peaty,Tomato,4.9,24.3,38.2,48.4,Urea
33.8,67.0,18.6,Loamy,Wheat,6.6,17.5,42.8,34.4,Urea
16.2,87.7,48.2,Peaty,Rice,7.5,15.4,33.4,42.1,Urea
22.4,32.7,28.5,Silty,Rice,4.6,12.7,11.3,73.5,Urea
27.9,84.9,55.5,Loamy,Wheat,6.1,45.8,25.2,46.1,Potash
20.8,79.4,13.9,Sandy,Cotton,7.8,23.5,44.4,55.9,Urea
16.2,71.5,32.5,Loamy,Potato,5.4,36.5,37.7,42.4,Gypsum
26.4,84.1,53.4,Peaty,Tomato,7.1,32.8,30.0,79.0,Potash
19.0,59.5,42.3,Clayey,Tomato,5.8,67.0,23.8,26.7,Potash
16.3,46.0,15.2,Peaty,Maize,8.3,69.1,22.2,49.9,SSP
36.4,88.6,30.6,Silty,Tomato,5.4,53.5,21.6,51.8,Gypsum
26.7,54.2,32.3,Silty,Maize,7.8,22.2,37.8,45.1,Urea
32.1,76.8,46.5,Clayey,Wheat,7.2,28.2,36.8,73.2,Urea
26.5,52.8,26.9,Clayey,Rice,6.5,10.4,46.6,18.6,Urea
25.9,43.0,48.6,Silty,Potato,5.9,96.2,5.8,33.7,DAP
32.5,32.2,11.2,Peaty,Maize,4.8,57.4,49.0,51.2,Gypsum
24.5,81.1,20.1,Chalky,Maize,4.7,39.2,19.8,80.0,DAP
24.7,83.0,41.7,Loamy,Potato,4.8,92.4,44.1,61.2,Gypsum
16.9,70.4,41.5,Clayey,Rice,5.5,87.0,32.5,36.9,Potash
38.2,47.6,26.8,Loamy,Potato,6.2,55.0,40.5,24.2,Potash
16.2,46.3,51.5,Clayey,Maize,6.7,21.5,41.3,35.3,Urea
34.5,81.3,51.0,Clayey,Tomato,6.0,33.2,31.6,58.6,Complex Fertilizer
33.0,79.2,43.0,Clayey,Wheat,5.2,14.4,24.3,31.0,Urea
25.6,38.9,52.2,Chalky,Rice,4.8,82.5,40.4,69.9,Gypsum
16.7,54.5,10.7,Peaty,Sugarcane,4.9,80.6,31.6,44.4,Gypsum
30.4,62.7,47.2,Clayey,Tomato,8.4,33.5,13.7,22.5,DAP
30.8,83.7,15.9,Sandy,Cotton,4.7,22.7,21.6,15.6,Urea
23.4,79.7,18.6,Chalky,Wheat,7.4,64.8,8.3,53.8,DAP
28.9,75.3,19.4,Chalky,Rice,5.6,86.7,45.9,59.5,Urea
33.1,60.7,40.6,Clayey,Potato,7.7,53.5,14.8,13.5,DAP
37.6,60.3,11.5,Clayey,Rice,7.7,80.0,12.2,56.4,DAP
31.5,32.9,35.7,Sandy,Rice,6.9,19.9,39.0,52.1,Urea
28.6,44.3,57.0,Chalky,Tomato,5.2,49.9,27.2,20.7,Potash
25.5,64.6,18.7,Clayey,Tomato,5.4,97.9,9.1,35.0,DAP
33.7,62.1,24.6,Sandy,Tomato,5.5,25.9,43.8,44.9,Urea
34.3,54.3,50.4,Silty,Wheat,8.4,25.8,39.4,11.3,Urea
23.1,45.2,42.1,Chalky,Sugarcane,5.3,67.0,26.9,13.7,Potash
25.7,86.5,23.8,Silty,Maize,6.1,92.4,41.7,35.8,Complex Fertilizer
24.0,87.4,42.7,Sandy,Tomato,8.3,96.3,32.4,13.5,Potash
21.9,43.8,10.0,Peaty,Maize,8.0,92.9,5.1,79.9,DAP
32.3,57.6,11.7,Chalky,Wheat,5.4,32.6,46.4,11.6,Potash
30.6,44.9,12.8,Chalky,Wheat,6.1,38.1,44.2,23.1,Potash
36.1,63.0,45.1,Clayey,Tomato,8.1,25.9,47.3,15.9,Urea
17.7,50.0,13.1,Silty,Sugarcane,7.8,51.8,18.4,79.2,DAP
22.0,47.1,22.9,Loamy,Cotton,6.7,93.1,21.6,76.8,Urea
38.1,87.1,27.3,Chalky,Sugarcane,7.2,65.2,27.1,39.2,Potash
20.4,48.7,16.6,Peaty,Sugarcane,8.2,90.3,19.2,67.5,DAP
16.0,52.6,16.0,Chalky,Rice,5.4,76.7,36.2,10.5,Potash
20.0,38.9,44.2,Chalky,Sugarcane,6.2,40.3,6.2,15.6,DAP
34.6,71.8,25.9,Silty,Sugarcane,5.4,34.7,28.4,10.7,Potash
39.1,78.5,42.4,Silty,Maize,7.9,83.5,27.0,18.5,Potash
28.6,32.2,50.3,Silty,Wheat,7.8,15.7,16.5,17.5,Urea
36.9,31.9,39.7,Loamy,Maize,6.5,62.5,33.5,10.4,Potash
33.3,65.8,21.3,Silty,Maize,8.1,56.8,19.0,44.2,DAP
37.8,31.9,14.1,Loamy,Maize,8.5,15.5,21.2,45.9,Urea
27.7,49.0,46.6,Peaty,Rice,6.1,35.7,10.0,36.8,DAP
17.0,41.8,58.3,Sandy,Maize,5.2,12.7,31.7,70.1,Urea
26.0,66.4,51.4,Peaty,Cotton,5.7,89.9,18.0,62.9,DAP
22.5,58.5,35.7,Silty,Cotton,7.3,18.8,18.0,62.3,Urea
16.5,88.8,19.9,Silty,Tomato,7.9,78.2,28.3,30.3,SSP
30.5,87.8,11.0,Loamy,Wheat,7.8,29.0,11.0,58.9,Urea
37.1,69.3,22.5,Peaty,Sugarcane,5.5,96.8,5.6,71.6,DAP
25.0,76.3,30.5,Clayey,Sugarcane,7.4,12.6,13.7,47.9,Urea
25.3,47.3,34.5,Peaty,Tomato,5.2,41.4,24.1,46.3,Gypsum
28.4,86.0,55.8,Loamy,Rice,8.5,10.3,7.9,37.6,Urea
35.5,47.2,19.2,Silty,Wheat,8.3,91.5,42.6,76.2,SSP
21.6,61.2,22.0,Clayey,Tomato,8.1,61.1,25.2,48.5,SSP
23.0,53.4,20.9,Sandy,Wheat,7.6,54.5,19.2,42.1,DAP
31.0,74.6,53.2,Loamy,Wheat,7.9,34.9,28.7,23.6,Potash
31.8,60.1,25.8,Loamy,Potato,5.5,10.3,27.4,35.3,Urea
36.3,76.6,18.6,Silty,Rice,7.5,96.9,43.2,39.7,SSP
31.8,72.9,53.3,Clayey,Maize,6.6,92.8,44.4,68.2,Complex Fertilizer
16.8,86.9,29.3,Chalky,Maize,5.9,94.0,12.0,15.1,DAP
34.3,78.5,50.7,Clayey,Wheat,5.0,40.8,20.0,11.8,Potash
28.5,54.0,36.4,Chalky,Cotton,8.3,34.9,7.1,75.2,DAP
39.5,31.5,32.2,Clayey,Cotton,6.9,58.3,33.8,32.9,Gypsum
32.0,75.9,10.2,Loamy,Tomato,6.0,84.8,32.1,40.0,DAP
28.0,41.7,58.3,Peaty,Sugarcane,6.4,66.3,40.9,25.0,Potash
16.1,76.4,47.0,Loamy,Tomato,7.2,41.9,28.3,64.3,Gypsum
21.3,41.3,10.0,Loamy,Cotton,7.5,77.5,32.2,74.9,Complex Fertilizer
28.3,64.6,52.5,Silty,Tomato,4.7,78.5,24.3,58.6,Gypsum
22.0,83.4,14.0,Silty,Wheat,4.7,76.1,42.4,51.8,Gypsum
18.4,75.1,40.1,Loamy,Cotton,8.0,54.3,20.5,57.0,SSP
17.3,57.4,21.3,Silty,Rice,5.8,92.9,14.8,14.0,DAP
32.9,74.6,21.5,Loamy,Potato,5.5,56.4,5.1,12.7,DAP
21.5,45.2,40.2,Silty,Potato,5.5,47.3,7.5,54.0,DAP
28.2,80.2,17.3,Silty,Rice,6.3,67.2,37.5,42.2,Urea
25.0,58.5,41.1,Clayey,Cotton,6.6,61.3,13.0,68.3,DAP
39.0,37.9,30.8,Clayey,Potato,6.4,84.3,39.2,54.1,Complex Fertilizer
18.7,81.9,43.1,Clayey,Sugarcane,7.2,87.4,42.8,62.1,DAP
27.3,65.9,41.0,Clayey,Cotton,6.1,52.5,18.6,14.9,DAP
17.9,88.7,26.6,Sandy,Cotton,6.5,32.5,15.1,62.3,DAP
39.1,44.7,19.2,Sandy,Wheat,4.8,40.5,26.2,71.2,Gypsum
34.8,51.8,43.4,Peaty,Potato,5.6,56.2,48.0,65.4,Potash
23.6,79.5,55.4,Sandy,Maize,4.7,57.0,32.6,60.7,Gypsum
35.1,81.9,40.6,Clayey,Rice,7.6,14.1,5.6,11.1,Urea
37.0,44.0,21.8,Loamy,Wheat,5.1,20.3,24.9,20.2,Urea
33.8,75.4,13.7,Silty,Potato,7.8,47.4,40.8,66.0,SSP
38.1,87.1,11.1,Peaty,Maize,7.5,90.8,18.3,15.0,DAP
36.7,37.6,44.0,Peaty,Sugarcane,6.5,71.5,11.7,39.0,DAP
16.8,33.0,55.5,Loamy,Maize,8.2,76.8,25.3,45.7,SSP
28.9,73.6,45.4,Clayey,Tomato,6.5,97.6,45.7,62.2,Urea
35.2,34.7,17.2,Silty,Rice,7.4,57.5,43.8,23.4,Potash
19.8,33.8,14.1,Chalky,Rice,8.0,67.8,24.3,49.0,SSP
30.2,75.2,34.9,Peaty,Wheat,7.1,52.9,48.3,54.5,Potash
22.9,68.1,12.3,Sandy,Potato,7.0,44.4,49.1,13.9,Potash
39.0,78.7,18.7,Peaty,Rice,6.5,88.4,37.4,18.5,Potash
35.9,49.6,18.3,Sandy,Tomato,5.9,51.1,9.8,17.0,DAP
17.5,79.6,22.0,Sandy,Wheat,5.6,35.1,48.2,28.8,Potash
24.2,89.4,36.5,Peaty,Rice,8.1,55.5,16.9,28.8,DAP
17.0,49.9,58.9,Peaty,Tomato,5.3,39.7,34.7,79.6,Gypsum
32.3,84.6,59.0,Peaty,Potato,5.5,64.1,25.4,43.3,Urea
36.1,68.3,48.9,Peaty,Sugarcane,5.1,21.9,11.4,78.2,Urea
28.6,53.4,45.8,Peaty,Cotton,4.7,77.0,23.0,68.3,Gypsum
38.8,88.1,50.4,Loamy,Rice,7.8,55.8,41.1,36.0,SSP
34.5,45.1,42.3,Loamy,Cotton,4.6,38.4,14.6,69.7,DAP
35.3,74.7,57.4,Loamy,Maize,4.6,13.2,29.3,69.1,Urea
19.7,65.5,16.0,Loamy,Tomato,6.3,47.1,32.5,29.1,Potash
16.7,64.0,59.5,Chalky,Wheat,7.6,10.3,35.2,52.7,Urea
26.2,44.1,26.8,Sandy,Sugarcane,6.0,25.5,9.7,63.8,Urea
22.4,61.8,45.2,Loamy,Potato,7.5,64.5,48.6,18.4,Potash
36.3,86.2,46.1,Sandy,Potato,6.0,65.8,44.9,58.8,Complex Fertilizer
39.4,47.7,16.1,Chalky,Tomato,7.0,77.6,36.9,46.0,DAP
21.5,60.5,36.6,Loamy,Potato,7.0,95.3,32.0,64.5,Potash
36.0,70.5,27.8,Chalky,Maize,6.0,84.6,23.9,36.3,Complex Fertilizer
15.6,51.1,39.6,Sandy,Sugarcane,4.6,33.1,14.1,42.8,DAP
19.5,51.9,21.0,Peaty,Wheat,7.7,47.3,14.4,43.1,DAP
15.2,66.4,40.8,Chalky,Maize,6.7,63.5,35.5,15.6,Potash
18.9,53.6,31.0,Silty,Maize,8.1,72.2,46.0,45.7,SSP
33.4,72.6,20.5,Chalky,Potato,6.1,15.2,38.3,55.6,Urea
33.2,70.2,17.1,Sandy,Wheat,6.9,66.1,27.6,78.2,SSP
23.4,85.6,51.6,Sandy,Sugarcane,6.3,30.0,25.3,50.5,Potash
24.6,32.7,41.4,Chalky,Cotton,8.0,26.4,27.1,49.6,Urea
39.8,63.4,24.0,Sandy,Wheat,5.8,69.8,48.5,18.9,Potash
22.9,64.9,46.3,Clayey,Wheat,6.7,15.2,39.9,29.5,Urea
30.3,70.0,41.2,Loamy,Wheat,7.2,30.4,14.3,63.9,DAP
32.4,77.4,10.2,Sandy,Wheat,7.0,17.6,26.0,28.5,Urea
38.6,86.7,18.6,Sandy,Potato,7.7,64.0,11.2,76.1,DAP
34.9,74.7,15.0,Silty,Potato,4.8,46.4,15.2,35.7,DAP
18.6,82.6,20.2,Loamy,Cotton,5.6,43.2,46.5,53.8,Potash
32.1,40.4,44.4,Sandy,Wheat,6.4,30.7,11.3,43.2,DAP
29.1,38.3,52.0,Loamy,Potato,4.7,89.1,24.7,62.2,Gypsum
20.4,52.0,15.8,Clayey,Rice,5.1,12.7,35.2,53.5,Urea
36.6,71.8,43.8,Chalky,Wheat,6.3,33.9,39.3,38.2,Gypsum
27.7,47.9,12.2,Peaty,Rice,6.2,96.2,23.5,12.8,Potash
33.4,46.6,47.6,Clayey,Cotton,5.1,24.2,17.0,64.7,Urea
19.5,70.4,41.4,Clayey,Wheat,6.9,60.5,49.8,29.5,Potash
33.6,63.7,44.8,Loamy,Tomato,8.5,10.5,14.1,50.2,Urea
35.1,81.9,42.1,Loamy,Tomato,5.7,21.7,18.3,36.5,Urea
29.9,43.4,56.5,Peaty,Maize,5.8,96.5,39.1,53.2,Gypsum
37.7,69.1,26.7,Silty,Cotton,5.3,50.9,46.8,54.2,Gypsum
26.2,87.8,13.3,Sandy,Cotton,8.1,93.3,21.6,11.8,Potash
26.1,51.3,50.1,Silty,Wheat,5.4,53.3,24.5,76.6,Gypsum
18.6,80.2,42.7,Sandy,Cotton,5.0,92.5,25.3,16.0,Potash
21.5,47.6,14.7,Chalky,Sugarcane,6.2,32.5,35.2,27.5,Potash
34.6,60.4,35.9,Peaty,Potato,5.3,74.9,41.4,21.4,Potash
19.5,75.7,18.6,Silty,Wheat,6.9,98.7,41.3,11.2,Potash
34.2,50.7,40.9,Peaty,Wheat,5.3,11.9,15.5,75.2,Urea
21.4,53.4,45.6,Sandy,Sugarcane,7.0,84.6,19.6,47.7,DAP
23.9,50.8,27.9,Clayey,Sugarcane,4.8,61.0,15.7,63.7,DAP
28.1,86.3,56.4,Silty,Cotton,5.0,50.8,18.0,11.0,DAP
24.6,70.7,31.1,Peaty,Maize,6.4,97.1,49.3,17.4,Potash
20.7,53.6,50.8,Silty,Potato,4.7,36.7,24.5,79.5,Gypsum
21.4,76.2,51.3,Peaty,Cotton,7.0,59.4,9.8,78.2,DAP
32.2,38.8,34.7,Sandy,Sugarcane,5.5,60.0,23.9,55.0,Complex Fertilizer
17.5,37.1,59.9,Sandy,Tomato,6.6,52.5,19.7,27.9,DAP
30.4,40.7,23.4,Clayey,Cotton,7.7,45.6,19.1,53.4,DAP
17.3,50.6,47.5,Chalky,Potato,7.6,65.8,37.2,64.8,SSP
23.1,48.6,11.5,Silty,Potato,8.3,76.1,32.8,62.8,SSP
27.3,64.5,21.3,Sandy,Potato,7.5,86.9,45.9,72.9,SSP
32.2,88.0,25.9,Peaty,Maize,6.8,90.3,45.3,42.3,DAP
15.6,58.5,42.0,Chalky,Tomato,6.8,63.8,5.9,12.7,DAP
36.7,35.0,26.2,Silty,Wheat,6.2,59.5,27.3,11.6,Potash
18.3,58.9,52.0,Clayey,Wheat,5.1,41.7,19.7,64.6,DAP
15.5,78.3,10.3,Sandy,Cotton,7.6,28.9,15.2,35.1,Urea
39.5,63.7,51.7,Clayey,Potato,5.4,27.0,26.6,67.0,Urea
30.6,75.4,45.0,Loamy,Potato,4.8,60.6,19.3,11.7,DAP
24.2,36.8,49.8,Chalky,Maize,6.9,74.6,20.8,51.1,DAP
24.8,35.9,53.3,Peaty,Rice,4.9,32.4,10.1,25.7,DAP
21.6,63.6,12.9,Sandy,Potato,7.3,70.0,45.8,47.1,Gypsum
38.7,81.2,41.5,Peaty,Wheat,5.8,13.5,6.4,68.6,Urea
38.8,71.0,40.2,Silty,Tomato,6.9,33.9,34.6,56.0,DAP
32.8,67.2,10.1,Peaty,Wheat,7.7,14.5,30.3,28.4,Urea
31.7,35.7,22.8,Clayey,Tomato,8.4,94.7,10.7,10.7,DAP
20.0,69.9,34.7,Sandy,Potato,8.4,45.7,42.2,40.3,SSP
17.8,42.9,16.1,Loamy,Tomato,8.4,51.3,7.6,79.1,DAP
20.6,52.9,11.1,Clayey,Wheat,8.4,84.7,44.6,52.2,SSP
39.5,42.6,13.3,Sandy,Potato,5.2,27.4,48.4,46.1,Urea
29.4,66.7,50.7,Sandy,Tomato,7.3,74.1,37.5,15.9,Potash
32.8,34.7,18.4,Chalky,Rice,6.2,63.9,46.9,45.4,Complex Fertilizer
29.7,36.9,28.2,Clayey,Rice,4.6,81.9,38.5,19.4,Potash
17.6,79.4,50.0,Peaty,Wheat,6.0,35.3,36.3,69.7,DAP
19.7,34.0,45.0,Peaty,Potato,5.0,33.3,29.0,50.5,Gypsum
24.1,62.6,18.9,Peaty,Wheat,6.7,74.0,23.9,19.8,Potash
39.6,59.1,32.1,Chalky,Sugarcane,6.3,54.9,14.3,32.9,DAP
33.1,81.7,13.7,Chalky,Cotton,6.9,85.9,37.8,35.9,DAP
29.9,54.7,20.0,Silty,Potato,7.6,53.0,33.3,20.0,Potash
35.6,41.5,13.5,Sandy,Wheat,6.2,32.0,23.9,53.1,DAP
31.4,58.2,34.8,Silty,Sugarcane,7.1,65.5,30.0,79.3,Potash
22.9,74.9,29.2,Clayey,Sugarcane,4.8,52.7,39.0,35.7,Gypsum
15.8,55.4,45.7,Silty,Cotton,6.7,88.6,24.4,38.8,DAP
26.8,64.0,45.2,Chalky,Cotton,4.6,79.0,19.1,20.5,DAP
26.8,31.5,16.2,Clayey,Rice,7.0,52.8,41.9,67.9,Urea
38.8,57.8,28.1,Silty,Rice,8.0,39.0,33.0,40.2,SSP
24.7,85.4,45.1,Peaty,Rice,6.8,99.2,33.7,44.2,SSP
21.7,66.2,53.7,Peaty,Tomato,5.6,37.8,5.9,26.1,DAP
20.9,68.0,38.7,Clayey,Potato,7.8,36.8,12.1,55.3,DAP
21.8,89.5,52.1,Clayey,Potato,5.9,69.1,37.4,46.6,Potash
21.0,58.1,52.2,Peaty,Cotton,7.4,93.3,30.6,73.3,Complex Fertilizer
31.4,69.4,37.5,Peaty,Potato,7.6,28.7,29.4,62.0,Urea
33.1,46.0,39.3,Loamy,Wheat,6.2,27.6,41.7,20.6,Urea
24.0,84.9,25.7,Chalky,Rice,7.7,45.8,17.7,22.2,DAP
37.3,57.0,25.7,Silty,Cotton,5.5,12.6,29.8,55.1,Urea
24.5,71.1,40.0,Peaty,Cotton,8.2,37.5,17.0,79.8,DAP
26.5,65.5,28.7,Silty,Potato,4.7,22.6,18.4,69.0,Urea
28.0,88.6,22.4,Sandy,Wheat,4.8,53.0,42.5,67.1,Gypsum
28.6,89.3,36.4,Peaty,Tomato,4.8,12.1,44.2,48.9,Urea
20.2,56.1,14.0,Sandy,Tomato,5.8,19.7,37.0,10.7,Urea
27.0,33.9,54.1,Sandy,Rice,6.7,17.0,29.3,47.6,Urea
15.7,56.2,52.4,Chalky,Wheat,5.1,31.7,42.8,43.6,Gypsum
17.7,78.2,48.6,Sandy,Potato,4.8,42.9,41.8,48.9,Gypsum
29.5,83.2,55.6,Peaty,Potato,5.0,72.0,46.0,36.2,Gypsum
35.1,31.5,40.6,Peaty,Potato,5.4,39.4,34.8,47.3,Gypsum
35.7,44.4,12.8,Loamy,Sugarcane,8.3,46.4,39.6,55.8,SSP
27.9,70.2,42.3,Chalky,Tomato,8.2,54.1,20.9,24.0,Potash
27.0,78.9,26.7,Clayey,Tomato,4.5,30.8,12.5,54.7,DAP
21.2,66.6,13.8,Silty,Tomato,5.4,38.8,45.2,29.7,Potash
31.5,56.3,31.8,Chalky,Cotton,5.3,88.8,44.1,12.5,Potash
22.3,79.4,41.5,Chalky,Cotton,7.4,88.6,32.4,66.7,SSP
30.9,34.1,51.6,Chalky,Cotton,8.4,40.8,41.9,36.4,SSP
34.6,34.4,24.4,Chalky,Wheat,7.9,66.1,37.0,78.2,SSP
18.6,33.7,26.1,Clayey,Maize,8.4,16.2,15.3,58.2,Urea
35.1,88.7,50.0,Peaty,Tomato,4.7,83.4,18.2,66.1,DAP
24.5,70.2,54.2,Chalky,Tomato,4.9,39.6,8.4,14.6,DAP
27.3,52.4,18.4,Peaty,Cotton,4.8,15.4,23.2,45.2,Urea
35.5,40.0,17.4,Sandy,Maize,5.6,78.7,48.2,71.9,DAP
18.9,74.8,58.2,Sandy,Cotton,6.6,99.3,20.7,50.3,DAP
19.2,31.5,59.1,Sandy,Wheat,8.0,53.5,38.9,14.0,Potash
24.1,80.2,56.4,Peaty,Potato,8.0,17.4,14.8,79.8,Urea
32.3,89.3,17.5,Sandy,Sugarcane,4.9,96.9,29.7,14.9,Potash
20.8,53.2,11.0,Chalky,Cotton,7.1,14.7,34.0,18.0,Urea
39.9,46.4,50.4,Chalky,Wheat,8.1,57.5,29.1,14.5,Potash
26.4,36.6,41.1,Loamy,Cotton,7.7,59.2,29.7,79.7,SSP
28.9,85.9,40.7,Peaty,Tomato,8.4,13.2,34.1,51.0,Urea
17.1,83.1,31.7,Clayey,Tomato,5.2,80.8,18.6,74.5,DAP
25.9,71.2,43.4,Clayey,Rice,7.8,41.6,40.8,19.2,Potash
24.6,83.5,49.1,Loamy,Cotton,6.4,27.5,18.5,31.7,Urea
24.7,58.1,24.7,Peaty,Rice,6.4,94.5,40.5,66.7,Urea
16.7,81.7,41.1,Silty,Wheat,4.9,57.4,27.7,21.9,Potash
27.3,52.2,13.4,Chalky,Maize,5.4,64.8,41.5,22.9,Potash
24.9,67.5,20.3,Silty,Sugarcane,7.5,62.8,6.2,11.7,DAP
